url,result
http://pages.leadsquared.com/cloud-crm-for-your-business,yes
http://pages.leadsquared.com/finance-crm,yes
http://pages.leadsquared.com/lead-tracking-platform,no
http://pages.leadsquared.com/education-crm-leadsquared,no
http://pages.leadsquared.com/field-management-software-book-demo,no
http://pages.leadsquared.com/b2c-crm-platform-for-your-business,yes
http://pages.leadsquared.com/college-crm,no
http://pages.leadsquared.com/drip-marketing,no
http://pages.leadsquared.com/collections-crm,no
http://pages.leadsquared.com/higher-ed-CRM,no
http://pages.leadsquared.com/lending-crm-to-disburse-loans-faster,no
http://pages.leadsquared.com/lead-management-CRM-try-now,no
http://pages.leadsquared.com/opportunity-management,yes
http://pages.leadsquared.com/sell-more-properties-faster,no
http://pages.leadsquared.com/crm-for-higher-education,no
http://pages.leadsquared.com/admissions-CRM-free-trial,no
http://pages.leadsquared.com/mobile-lead-management,yes
http://pages.leadsquared.com/manage-your-sales-process,yes
http://pages.leadsquared.com/higher-ed,no
http://pages.leadsquared.com/insurance-crm-to-increase-sales,yes
http://pages.leadsquared.com/Meesho-case-study-download,no
http://pages.leadsquared.com/marketing-ebooks,no
http://pages.leadsquared.com/book-your-demo-now-,no
http://pages.leadsquared.com/B2B-Sales-Playbook,no
http://pages.leadsquared.com/webinar-HigherEd-with-BMLMunjal,no
http://pages.leadsquared.com/Thank-you-page-for-webinar-2021,no
http://pages.leadsquared.com/Case-Study-Rohan-Builders,no
http://pages.leadsquared.com/webinar-video-Lessons-from-Toppr-a-Roadmap-to-Scaling-EdTech-Sales-by-2x,no
http://pages.leadsquared.com/webinar-insurance-on-intelligent-automation,no
http://pages.leadsquared.com/book-your-leadsquared-demo-,yes
http://pages.leadsquared.com/book-your-leadsquared-demo,yes
http://pages.leadsquared.com/Debt-Collection-Software-Features-Checklist,no
http://pages.leadsquared.com/Ebook-Phygital-Lending-For-Banks,no
http://pages.leadsquared.com/book-your-demo-now,no
http://pages.leadsquared.com/sales-crm-me,no
http://pages.leadsquared.com/Digital-Bancassurance,no
http://pages.leadsquared.com/webinar-edtech-sales-strategy,no
http://pages.leadsquared.com/Playbook-Ed-Tech-sales-and-marketing,no
http://pages.leadsquared.com/Boost-Enrollment-Rates,no
http://pages.leadsquared.com/EdWisor-casestudy,no
http://pages.leadsquared.com/EdTech-Growth-Hack-Ebook,no
http://pages.leadsquared.com/Admissions-Playbook,no
http://pages.leadsquared.com/Life-without-LeadSquared-at-IMT-CDL,no
http://pages.leadsquared.com/virtual-roundtable-on-bancassurance,no
http://pages.leadsquared.com/webinar-insurance-selling,no
http://pages.leadsquared.com/webinar-on-insurance,no
http://pages.leadsquared.com/virtual-roundtable-on-insurance,no
http://pages.leadsquared.com/webinar-data-driven-sales-in-insurance,no
http://pages.leadsquared.com/webinar-digital-sales-in-insurance,no
http://pages.leadsquared.com/max-life-insurance-us-case-study-download,no
http://pages.leadsquared.com/boost-insurance-agency-sales,yes
http://pages.leadsquared.com/Insurance-demo-with-Pre-Sales-team,yes
http://pages.leadsquared.com/insurance-casestudy,no
http://pages.leadsquared.com/Insurance-personalized-demo-with-Pre-Sales-team,yes
http://pages.leadsquared.com/webinar-digital-insurance,no
http://pages.leadsquared.com/Ebook-Digital-Insurance,no
http://pages.leadsquared.com/Insurance-sales-demo,yes
http://pages.leadsquared.com/loan-crm-software,no
http://pages.leadsquared.com/Recording-Building-a-Digital-First-Customer-Acquisition-and-Collection-Process,no
http://pages.leadsquared.com/sales-funnel-for-managers,no
http://pages.leadsquared.com/customer-experience-management-for-managers,no
http://pages.leadsquared.com/sales-forecasting-methods,no
http://pages.leadsquared.com/Case-Study-Acko,yes
http://pages.leadsquared.com/sales-hacks-to-maximize-growth,no
http://pages.leadsquared.com/webinar-livestorm-integration-test,no
http://pages.leadsquared.com/Collections-demo,no
http://pages.leadsquared.com/LeadSquared-Aviva-Life-Insurance-Webinar-Confirmation,no
http://pages.leadsquared.com/webinar-livestorm-integration,no
http://pages.leadsquared.com/webinar-stock-broking-industry-angel-broking,no
http://pages.leadsquared.com/webinar-video-impact-of-digital-transformation-on-the-stock-broking-industry,no
http://pages.leadsquared.com/asher-college-case-study-download,no
http://pages.leadsquared.com/Ebook-Phygital-Lending,no
http://pages.leadsquared.com/book-your-real-estate-consultation,no
http://pages.leadsquared.com/lead-management-software-try-now,no
http://pages.leadsquared.com/Real-Estate-Case-Study,no
http://pages.leadsquared.com/SPIPD-Case-Study,no
http://pages.leadsquared.com/book-your-real-estate-session,no
http://pages.leadsquared.com/Rohan-builders-E-Book-Download,no
http://pages.leadsquared.com/CRM-real-estat-untuk-bisnis-Anda,no
http://pages.leadsquared.com/webinar-stock-broking-industry-angel-broking-on-livestorm,no
http://pages.leadsquared.com/webinar-lending-businesses-Profectus,no
http://pages.leadsquared.com/webinar-video-how-lending-institutions-can-become-agile-through-digital,no
http://pages.leadsquared.com/webinar-education-call-centre-with-exotel,no
http://pages.leadsquared.com/webinar-video-attracting-and-engaging-prospective-students,no
http://pages.leadsquared.com/webinar-video-how-to-deliver-a-seamless-student-enrolment-experience,no
http://pages.leadsquared.com/real-estate-crm-leadsquared,no
http://pages.leadsquared.com/thank-you,no
http://pages.leadsquared.com/crm-automation-to-grow-your-business,yes
http://pages.leadsquared.com/webinar-Increase-Sales-Improve-marketing-ROI-with-technology,no
http://pages.leadsquared.com/webinar-how-to-use-technology-to-increase-sales,no
http://pages.leadsquared.com/revenue-leak-fixes-full-width,no
http://pages.leadsquared.com/revenue-leak-fixes,no
http://pages.leadsquared.com/CollectionsEbook,no
http://pages.leadsquared.com/Template-sample,no
http://pages.leadsquared.com/thank-you-for-requesting-demo,yes
